S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
6,11,20,100,49,1,100,0,150,99.5,49,0.9942437774231376,0.9942437774231376,57.6378719986033,57.6378719986033,73.68658370714144,57.823747907100994
7,11,20,100,49,1,100,0,150,99.5,49,0.9903162060348356,0.9903162060348356,58.533243398478774,58.533243398478774,76.99408145210016,58.820461820361736
8,11,20,100,49,1,100,0,150,99.5,49,0.9857402221041585,0.9857402221041585,59.6131051859531,59.6131051859531,79.56674820972852,60.00154553330273
9,11,20,100,49,1,100,0,150,99.5,49,0.9807495188065146,0.9807495188065146,60.811866819223475,60.811866819223475,81.62395268541556,61.29546012300062
10,11,20,100,49,1,100,0,150,99.5,49,0.9755259890856238,0.9755259890856238,62.07535564476143,62.07535564476143,83.30599494601428,62.646124272043
11,11,20,100,49,1,100,0,150,99.5,49,0.9702036015230557,0.9702036015230557,63.362707536501034,63.362707536501034,84.70665158582914,64.01300643043851
1,12,20,100,49,1,100,0,150,99.5,49,0.30092485897007,0.30092485897007,23.613831802244484,23.613831802244484,17.548046728482745,57.86176359788379
2,12,20,100,49,1,100,0,150,99.5,49,0.999998995872709,0.999998995872709,57.861770479133526,57.861770479133526,42.6905633769153,57.86181175843676
3,12,20,100,49,1,100,0,150,99.5,49,0.9998811006926991,0.9998811006926991,57.87236529186225,57.87236529186225,56.92602663480327,57.87695039520479
4,12,20,100,49,1,100,0,150,99.5,49,0.9990383409073493,0.9990383409073493,57.986799385570976,57.986799385570976,65.6345347660714,58.02190980079995
5,12,20,100,49,1,100,0,150,99.5,49,0.9969012674247644,0.9969012674247644,58.338437616590475,58.338437616590475,71.4521374790554,58.44398895771025
6,12,20,100,49,1,100,0,150,99.5,49,0.9934172800872964,0.9934172800872964,58.9726658729879,58.9726658729879,75.59917319059151,59.17900828976552
7,12,20,100,49,1,100,0,150,99.5,49,0.9888266631123594,0.9888266631123594,59.85559979627719,59.85559979627719,78.7002525983195,60.17572220302628
8,12,20,100,49,1,100,0,150,99.5,49,0.983433402227783,0.983433402227783,60.92324095143313,60.92324095143313,81.10496570395557,61.356805915967264
9,12,20,100,49,1,100,0,150,99.5,49,0.9775094374639867,0.9775094374639867,62.111046649732145,62.111046649732145,83.02338646457399,62.65072050566516
10,12,20,100,49,1,100,0,150,99.5,49,0.9712703826837494,0.9712703826837494,63.36520379874227,63.36520379874227,84.58908104138044,64.00138465470754
11,12,20,100,49,1,100,0,150,99.5,49,0.9648778574854708,0.9648778574854708,64.64477838955193,64.64477838955193,85.89092680152389,65.36826681310303
12,12,20,100,49,1,100,0,150,99.5,49,0.9584492080934349,0.9584492080934349,65.92034548904687,65.92034548904687,86.9903157870412,66.72352719576757
1,13,20,100,49,1,100,0,150,99.5,49,0.3706433509300646,0.3706433509300646,28.349542389561705,28.349542389561705,20.172414101176184,59.18706912109398
2,13,20,100,49,1,100,0,150,99.5,49,0.9999991663428811,0.9999991663428811,59.187083317911316,59.187083317911316,45.63869462012927,59.18711728164695
3,13,20,100,49,1,100,0,150,99.5,49,0.9998753013906561,0.9998753013906561,59.197513976725475,59.197513976725475,59.48120961726288,59.20225591841496
4,13,20,100,49,1,100,0,150,99.5,49,0.9989514758714527,0.9989514758714527,59.30958887869416,59.30958887869416,67.81669942663233,59.34721532401014
5,13,20,100,49,1,100,0,150,99.5,49,0.9965635874598419,0.9965635874598419,59.654612576023865,59.654612576023865,73.33855467540388,59.76929448092043
6,13,20,100,49,1,100,0,150,99.5,49,0.9926243963908572,0.9926243963908572,60.27862808152514,60.27862808152514,77.25426226984423,60.50431381297571
7,13,20,100,49,1,100,0,150,99.5,49,0.9873878829038301,0.9873878829038301,61.14978436015194,61.14978436015194,80.17193069334442,61.50102772623646
8,13,20,100,49,1,100,0,150,99.5,49,0.9811907701939172,0.9811907701939172,62.20588895311727,62.20588895311727,82.42855908906202,62.68211143917745
9,13,20,100,49,1,100,0,150,99.5,49,0.9743407754722675,0.9743407754722675,63.38345313421411,63.38345313421411,84.22529671405013,63.97602602887535
10,13,20,100,49,1,100,0,150,99.5,49,0.9670859520141427,0.9670859520141427,64.62904669167425,64.62904669167425,85.68941143416018,65.32669017791773
11,13,20,100,49,1,100,0,150,99.5,49,0.9596151511481066,0.9596151511481066,65.90168555011103,65.90168555011103,86.90527503735467,66.69357233631322
12,13,20,100,49,1,100,0,150,99.5,49,0.9520677078663459,0.9520677078663459,67.17167267981151,67.17167267981151,87.93099677937111,68.04883271897776
13,13,20,100,49,1,100,0,150,99.5,49,0.9445442555946398,0.9445442555946398,68.41842354140371,68.41842354140371,88.80788806304413,69.37413824218794
1,14,20,100,49,1,100,0,150,99.5,49,0.445893008245705,0.445893008245705,33.319746845999916,33.319746845999916,22.714664813170526,60.47090573065112
2,14,20,100,49,1,100,0,150,99.5,49,0.9999992418043699,0.9999992418043699,60.47092321381737,60.47092321381737,48.318634928258234,60.47095389120409
3,14,20,100,49,1,100,0,150,99.5,49,0.9998693977878694,0.9998693977878694,60.48117967214029,60.48117967214029,61.75773028082446,60.486092527972104
