S,G,D,ε,β,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
3,4,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8083517248405381,0.8083517248405381,61.64190453731804,61.64190453731804,70.60667438271602,60.69685570987653
4,4,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.7246270094714051,0.7246270094714051,68.04874970630617,68.04874970630617,77.24761962890622,66.64062499999999
1,5,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9042892698130692,0.9042892698130692,53.98465800225854,53.98465800225854,40.959999999999994,55.47999999999999
2,5,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8969619442370321,0.8969619442370321,59.028010321486384,59.028010321486384,65.60999999999999,58.604999999999976
3,5,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.7771800683594694,0.7771800683594694,66.28202547547335,66.28202547547335,75.88345679012343,65.35654320987655
4,5,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.6542521952655447,0.6542521952655447,72.95568455299681,72.95568455299681,81.45062499999996,71.30031249999999
5,5,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.5481920161884476,0.5481920161884476,78.08233093419372,78.08233093419372,84.93465599999996,75.96
1,6,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9336793721536644,0.9336793721536644,58.61299348317724,58.61299348317724,48.2253086419753,59.112654320987644
2,6,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8973282388218446,0.8973282388218446,62.57653147455334,62.57653147455334,70.60667438271602,62.237654320987644
3,6,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.7521000539866364,0.7521000539866364,69.80572032433673,69.80572032433673,79.56199512269468,68.98919753086419
4,6,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.5968333581473859,0.5968333581473859,76.65346422255654,76.65346422255654,84.34636622299382,74.93296682098764
5,6,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.4619857567345761,0.4619857567345761,81.88136802427356,81.88136802427356,87.31864197530862,79.59265432098765
6,6,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.3569269822289451,0.3569269822289451,85.61924757192229,85.61924757192229,89.34333800106688,83.22530864197529
2,2,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.08298712406098455,0.08298712406098455,12.595932645180833,12.595932645180833,10.01129150390625,35.390625
1,3,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.04277895718771079,0.04277895718771079,6.767923301204639,6.767923301204639,3.901844231062346,36.95092211553117
2,3,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.43912394667180227,0.43912394667180227,24.68477975160647,24.68477975160647,23.256803936137793,37.14623461553117
3,3,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.85485799305033,0.85485799305033,37.69532919314951,37.69532919314951,38.974434312894566,38.90184423106234
1,4,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.122676225684756,0.122676225684756,12.475950887102833,12.475950887102833,10.01129150390625,40.005645751953125
2,4,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.7911689951036494,0.7911689951036494,36.79753800946172,36.79753800946172,34.360891580581665,40.200958251953125
3,4,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9179855693711904,0.9179855693711904,42.57477604530238,42.57477604530238,49.853024673868894,41.956567867484296
4,4,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9268900651662606,0.9268900651662606,46.14833510319343,46.14833510319343,59.67194738332182,45.01129150390625
1,5,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.30018813124694954,0.30018813124694954,20.516111709712714,20.516111709712714,16.777216000000006,43.388608000000005
2,5,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9000361280929368,0.9000361280929368,43.21904978602184,43.21904978602184,43.04672100000001,43.583920500000005
3,5,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9316274972426777,0.9316274972426777,46.346442986841254,46.346442986841254,57.582990144185345,45.339530115531176
4,5,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9238586495187106,0.9238586495187106,49.66784121042194,49.66784121042194,66.34204312890623,48.39425375195313
5,5,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9099195705096924,0.9099195705096924,53.16296955048368,53.16296955048368,72.13895789838334,51.777216
1,6,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.4924653570140215,0.4924653570140215,30.200167123283688,30.200167123283688,23.256803936137793,46.6284019680689
2,6,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9297773338928257,0.9297773338928257,47.236460082559,47.236460082559,49.853024673868894,46.8237144680689
3,6,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9361356735436863,0.9361356735436863,49.6881902768003,49.6881902768003,63.30111067903695,48.57932408360007
4,6,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9183374195833116,0.9183374195833116,52.92777775602392,52.92777775602392,71.14309495023396,51.634047720022025
5,6,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8951670646298149,0.8951670646298149,56.45506550283878,56.45506550283878,76.24545236412132,55.017009968068905
6,6,8,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8714613326895223,0.8714613326895223,59.819900903643145,59.819900903643145,79.82232045172886,58.25680393613779
2,2,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.02916040759997695,0.02916040759997695,3.840678157604246,3.840678157604246,1.0022595757618546,35.00152587890625
1,3,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.025824259487244983,0.025824259487244983,2.9393830312065736,2.9393830312065736,0.15224388403474176,35.07612194201737
2,3,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.057304136815393675,0.057304136815393675,7.780372390873991,7.780372390873991,5.408789293239547,35.0768848814705
3,3,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.23446814571445715,0.23446814571445715,14.978832561801848,14.978832561801848,15.190065300101342,35.152243884034746
1,4,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.030374140097879962,0.030374140097879962,3.7288090351380947,3.7288090351380947,1.0022595757618546,35.50112978788093
2,4,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.1645891016989482,0.1645891016989482,12.71571859141504,12.71571859141504,11.80670870212488,35.50189272733405
3,4,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.5068627582209206,0.5068627582209206,22.830904273251488,22.830904273251488,24.85324069133381,35.5772517298983
4,4,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8054065165044823,0.8054065165044823,32.34920770336101,32.34920770336101,35.60741304517928,36.002259575761855
1,5,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.04375440541053524,0.04375440541053524,5.3026419813108525,5.3026419813108525,2.8147497671065613,36.40737488355328
2,5,16,0.05,2.0,100,35,0,100,0,135,85.0,35,0.3333899823461336,0.3333899823461336,18.467545305069596,18.467545305069596,18.530201888518416,36.408137823006406
