S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
2,3,3,100,49,1,100,0,150,99.5,49,29,57.986312468747634,0.009779059153558917
2,3,3,100,49,1,100,0,150,99.5,49,30,58.030674841127606,0.01352902005146113
2,3,3,100,49,1,100,0,150,99.5,49,31,58.09162853558569,0.018688940857109558
2,3,3,100,49,1,100,0,150,99.5,49,32,58.1750347393631,0.025763665967198427
2,3,3,100,49,1,100,0,150,99.5,49,33,58.288521630158066,0.03541632704488206
2,3,3,100,49,1,100,0,150,99.5,49,34,58.441752932852665,0.048498259345189726
2,3,3,100,49,1,100,0,150,99.5,49,35,58.64649781939475,0.06606676887033991
2,3,3,100,49,1,100,0,150,99.5,49,36,58.9162620233108,0.08937188356919731
2,3,3,100,49,1,100,0,150,99.5,49,37,59.26513784462546,0.1197827437376154
2,3,3,100,49,1,100,0,150,99.5,49,38,59.70550607447655,0.15861664870335201
2,3,3,100,49,1,100,0,150,99.5,49,39,60.24443885752037,0.2068408543905058
2,3,3,100,49,1,100,0,150,99.5,49,40,60.87930215911882,0.264657685466169
2,3,3,100,49,1,100,0,150,99.5,49,41,61.594117815206275,0.3310699796795217
2,3,3,100,49,1,100,0,150,99.5,49,42,62.35907500752595,0.4036304150291429
2,3,3,100,49,1,100,0,150,99.5,49,43,63.134923444290926,0.4786123149962438
2,3,3,100,49,1,100,0,150,99.5,49,44,63.88127006870509,0.5516903777714613
2,3,3,100,49,1,100,0,150,99.5,49,45,64.56492839248583,0.618913079748131
2,3,3,100,49,1,100,0,150,99.5,49,46,65.16456202308741,0.6775262275991061
2,3,3,100,49,1,100,0,150,99.5,49,47,65.67094092146742,0.7263019140569422
2,3,3,100,49,1,100,0,150,99.5,49,48,66.08464294399901,0.7653546820371829
2,3,3,100,49,1,100,0,150,99.5,49,49,66.41304008114605,0.7956816354496273
2,3,3,100,49,1,100,0,150,99.5,49,50,66.6674075895976,0.818687381790317
2,3,3,100,49,1,100,0,150,99.5,49,51,66.86048288250402,0.8358361800125611
2,3,3,100,49,1,100,0,150,99.5,49,52,67.00468030585473,0.8484552854390557
2,3,3,100,49,1,100,0,150,99.5,49,53,67.11102684096923,0.8576543639152165
2,3,3,100,49,1,100,0,150,99.5,49,54,67.18871245682087,0.8643149416644167
2,3,3,100,49,1,100,0,150,99.5,49,55,67.24505853992024,0.8691140340321812
2,3,3,100,49,1,100,0,150,99.5,49,56,67.28571308673305,0.8725598041353363
2,3,3,100,49,1,100,0,150,99.5,49,57,67.31493399438116,0.8750276966756426
2,3,3,100,49,1,100,0,150,99.5,49,58,67.33587876416107,0.8767920667018071
2,3,3,100,49,1,100,0,150,99.5,49,59,67.35086149021265,0.8780518593480396
2,3,3,100,49,1,100,0,150,99.5,49,60,67.36156395478993,0.878950556702393
2,3,3,100,49,1,100,0,150,99.5,49,61,67.36920110012866,0.8795912443830336
2,3,3,100,49,1,100,0,150,99.5,49,62,67.37464687467573,0.8800477843093525
2,3,3,100,49,1,100,0,150,99.5,49,63,67.37852802739091,0.8803729976466063
2,3,3,100,49,1,100,0,150,99.5,49,64,67.38129305512777,0.8806046070796342
2,3,3,100,49,1,100,0,150,99.5,49,65,67.3832624034513,0.8807695264769269
2,3,3,100,49,1,100,0,150,99.5,49,66,67.38466477511149,0.8808869447508536
2,3,3,100,49,1,100,0,150,99.5,49,67,67.38566326800515,0.8809705364114735
2,3,3,100,49,1,100,0,150,99.5,49,68,67.3863741295128,0.8810300428687503
2,3,3,100,49,1,100,0,150,99.5,49,69,67.38688018161318,0.8810724019611061
2,3,3,100,49,1,100,0,150,99.5,49,70,67.3872404152461,0.8811025539498615
2,3,3,100,49,1,100,0,150,99.5,49,71,67.38749683896019,0.881124016230014
2,3,3,100,49,1,100,0,150,99.5,49,72,67.3876793635441,0.881139292912484
2,3,3,100,49,1,100,0,150,99.5,49,73,67.38780928380893,0.8811501666156106
2,3,3,100,49,1,100,0,150,99.5,49,74,67.3879017593714,0.8811579062865197
2,3,3,100,49,1,100,0,150,99.5,49,75,67.387967581692,0.8811634151891998
2,3,3,100,49,1,100,0,150,99.5,49,76,67.38801443245174,0.881167336271742
2,3,3,100,49,1,100,0,150,99.5,49,77,67.38804777955568,0.8811701271805371
2,3,3,100,49,1,100,0,150,99.5,49,78,67.38807151504611,0.8811721136616126
2,3,3,100,49,1,100,0,150,99.5,49,79,67.38808840923329,0.8811735275743252
2,3,3,100,49,1,100,0,150,99.5,49,80,67.38810043397304,0.8811745339504495
2,3,3,100,49,1,100,0,150,99.5,49,81,67.38810899278657,0.8811752502550427
2,3,3,100,49,1,100,0,150,99.5,49,82,67.38811508466301,0.8811757600962378
2,3,3,100,49,1,100,0,150,99.5,49,83,67.38811942065382,0.8811761229836901
2,3,3,100,49,1,100,0,150,99.5,49,84,67.38812250686351,0.8811763812744476
2,3,3,100,49,1,100,0,150,99.5,49,85,67.38812470352123,0.8811765651168558
2,3,3,100,49,1,100,0,150,99.5,49,86,67.38812626702617,0.8811766959694922
