S,D,ε,β,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
4,32,0.05,2.0,4,10,10,0,14,9.0,4,0.1894234108151802,0.1894234108151802,1.238183540713406,1.238183540713406,1.2678878637700028,4.001004524257206
4,64,0.05,2.0,4,10,10,0,14,9.0,4,0.03598890477749729,0.03598890477749729,0.38928767555464416,0.38928767555464416,0.16075396350952673,4.000000100906898
4,2,0.05,2.0,5,10,10,0,15,10.0,5,0.04502741146589623,0.04502741146589623,8.964668899942257,8.964668899942257,8.789062499999996,10.624999999999998
4,4,0.05,2.0,5,10,10,0,15,10.0,5,0.10708535205635931,0.10708535205635931,7.973212948310295,7.973212948310295,7.724761962890621,8.1640625
4,8,0.05,2.0,5,10,10,0,15,10.0,5,0.5866026553512652,0.5866026553512652,6.005898558189094,6.005898558189094,5.967194738332181,6.001129150390626
4,16,0.05,2.0,5,10,10,0,15,10.0,5,0.6798318901971292,0.6798318901971292,4.0721149529547045,4.0721149529547045,3.5607413045179275,5.1002259575761855
4,32,0.05,2.0,5,10,10,0,15,10.0,5,0.13587773122651764,0.13587773122651764,1.4518970001491827,1.4518970001491827,1.2678878637700028,5.001004524257205
4,64,0.05,2.0,5,10,10,0,15,10.0,5,0.03248608440536973,0.03248608440536973,0.4332733106199559,0.4332733106199559,0.16075396350952673,5.000000100906897
4,2,0.05,2.0,6,10,10,0,16,11.0,6,0.030960478859111334,0.030960478859111334,8.98931173889144,8.98931173889144,8.789062499999996,11.624999999999998
4,4,0.05,2.0,6,10,10,0,16,11.0,6,0.038164167723504915,0.038164167723504915,7.972368263139152,7.972368263139152,7.724761962890621,9.164062499999998
4,8,0.05,2.0,6,10,10,0,16,11.0,6,0.05761234856294986,0.05761234856294986,6.296535869522507,6.296535869522507,5.967194738332181,7.001129150390625
4,16,0.05,2.0,6,10,10,0,16,11.0,6,0.37532166832785174,0.37532166832785174,4.041758543469262,4.041758543469262,3.5607413045179275,6.100225957576185
4,32,0.05,2.0,6,10,10,0,16,11.0,6,0.059473246482824024,0.059473246482824024,1.6014355773756859,1.6014355773756859,1.2678878637700028,6.001004524257205
4,64,0.05,2.0,6,10,10,0,16,11.0,6,0.029304508020004207,0.029304508020004207,0.4704758003469628,0.4704758003469628,0.16075396350952673,6.000000100906898
4,2,0.05,2.0,7,10,10,0,17,12.0,7,0.02857134288260707,0.02857134288260707,9.014447716301104,9.014447716301104,8.789062499999996,12.624999999999996
4,4,0.05,2.0,7,10,10,0,17,12.0,7,0.03236651129892015,0.03236651129892015,7.995091222654099,7.995091222654099,7.724761962890621,10.164062499999998
4,8,0.05,2.0,7,10,10,0,17,12.0,7,0.04054055386527092,0.04054055386527092,6.309894620777444,6.309894620777444,5.967194738332181,8.001129150390625
4,16,0.05,2.0,7,10,10,0,17,12.0,7,0.056379040696046746,0.056379040696046746,3.975073671370789,3.975073671370789,3.5607413045179275,7.100225957576185
