S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
5,81,1,2,10,0,3,2.0,1,1,1.0e-6,1.0e-6
5,81,1,2,10,0,3,2.0,1,2,0.10992278189786135,0.036641339510904335
5,81,1,2,10,0,3,2.0,1,3,0.08607901052867055,0.041460614937362666
5,81,1,2,10,0,3,2.0,1,4,0.08392948821759025,0.042139374770713195
5,81,1,2,10,0,3,2.0,1,5,0.08364211777449415,0.04223585069205769
5,81,1,2,10,0,3,2.0,1,6,0.08360157330701871,0.042249581048131715
5,81,1,2,10,0,3,2.0,1,7,0.08359580913126814,0.04225153549691212
5,81,1,2,10,0,3,2.0,1,8,0.08359498875210505,0.042251813710360936
5,81,1,2,10,0,3,2.0,1,9,0.08359487197460258,0.04225185331386007
5,81,1,2,10,0,3,2.0,1,10,0.08359485535145349,0.04225185895139484
5,81,1,2,10,0,3,2.0,1,11,0.08359485298515901,0.04225185975389464
5,81,1,2,10,0,3,2.0,1,12,0.08359485264831835,0.04225185986813001
5,81,1,2,10,0,3,2.0,1,13,0.08359485260036935,0.042251859884391375
5,81,1,2,10,0,3,2.0,1,14,0.08359485259354374,0.04225185988670613
5,81,1,2,10,0,3,2.0,1,15,0.08359485259257206,0.04225185988703559
5,81,1,2,10,0,3,2.0,1,16,0.08359485259243385,0.042251859887082535
5,81,1,2,10,0,3,2.0,1,17,0.08359485259241417,0.04225185988708923
5,81,1,2,10,0,3,2.0,1,18,0.0835948525924114,0.042251859887090196
5,81,1,2,10,0,3,2.0,1,19,0.08359485259241095,0.04225185988709031
5,81,1,2,10,0,3,2.0,1,20,0.08359485259241095,0.04225185988709035
5,81,1,2,10,0,3,2.0,1,21,0.08359485259241088,0.042251859887090334
5,81,1,2,10,0,3,2.0,1,22,0.0835948525924108,0.04225185988709028
5,81,1,2,10,0,3,2.0,1,23,0.0835948525924109,0.04225185988709031
5,81,1,2,10,0,3,2.0,1,24,0.08359485259241095,0.04225185988709035
5,81,1,2,10,0,3,2.0,1,25,0.08359485259241088,0.042251859887090334
5,81,1,2,10,0,3,2.0,1,26,0.0835948525924108,0.04225185988709028
5,81,1,2,10,0,3,2.0,1,27,0.0835948525924109,0.04225185988709031
5,81,1,2,10,0,3,2.0,1,28,0.08359485259241095,0.04225185988709035
5,81,1,2,10,0,3,2.0,1,29,0.08359485259241088,0.042251859887090334
5,81,1,2,10,0,3,2.0,1,30,0.0835948525924108,0.04225185988709028
5,81,1,2,10,0,3,2.0,1,31,0.0835948525924109,0.04225185988709031
5,81,1,2,10,0,3,2.0,1,32,0.08359485259241095,0.04225185988709035
5,81,1,2,10,0,3,2.0,1,33,0.08359485259241088,0.042251859887090334
5,81,1,2,10,0,3,2.0,1,34,0.0835948525924108,0.04225185988709028
5,81,1,2,10,0,3,2.0,1,35,0.0835948525924109,0.04225185988709031
5,81,1,2,10,0,3,2.0,1,36,0.08359485259241095,0.04225185988709035
5,81,1,2,10,0,3,2.0,1,37,0.08359485259241088,0.042251859887090334
5,81,1,2,10,0,3,2.0,1,38,0.0835948525924108,0.04225185988709028
5,81,1,2,10,0,3,2.0,1,39,0.0835948525924109,0.04225185988709031
5,81,1,2,10,0,3,2.0,1,40,0.08359485259241095,0.04225185988709035
5,81,1,2,10,0,3,2.0,1,41,0.08359485259241088,0.042251859887090334
5,81,1,2,10,0,3,2.0,1,42,0.0835948525924108,0.04225185988709028
5,81,1,2,10,0,3,2.0,1,43,0.0835948525924109,0.04225185988709031
5,81,1,2,10,0,3,2.0,1,44,0.08359485259241095,0.04225185988709035
