S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,asymptotic_cost,comp_cost,bespoke_cost
6,16,10,0,100,10,1,0.8635230790482648,2.2746789053177965,2.2746789053177965,6.371602842298491
7,16,10,0,100,10,1,0.8085833481400784,3.1176244603979106,3.1176244603979106,7.189894494838615
8,16,10,0,100,10,1,0.739966453241098,4.087486172023661,4.087486172023661,7.772651709434126
9,16,10,0,100,10,1,0.6599368084184941,5.118066998939706,5.118066998939706,8.197463466123013
10,16,10,0,100,10,1,0.5697877489432542,6.1454973903485675,6.1454973903485675,8.514577710948753
11,16,10,0,100,10,1,0.4704606876558453,7.110155480894454,7.110155480894454,8.756569756556328
12,16,10,0,100,10,1,0.36270925111515084,7.957166487079593,7.957166487079593,8.944925461409722
13,16,10,0,100,10,1,0.2471632343696174,8.6363174529569,8.6363174529569,9.094131584531478
14,16,10,0,100,10,1,0.12436136467710937,9.101744007080542,9.101744007080542,9.214178899028443
15,16,10,0,100,10,1,2.1986198352980774e-8,9.312107992438282,9.312107992438282,9.312107986441475
16,16,10,0,100,10,1,8.769101774425258e-10,9.392980963520193,9.392980963520193,9.392980958938162
17,16,10,0,100,10,1,4.694489196127095e-10,9.46050501465011,9.46050501465011,9.460505010098464
18,16,10,0,100,10,1,3.3028139157388194e-10,9.517441021013317,9.517441021013317,9.517441016473617
19,16,10,0,100,10,1,2.6012558225434434e-10,9.565876772406144,9.565876772406144,9.565876767873378
20,16,10,0,100,10,1,2.178832988462933e-10,9.607413211219386,9.607413211219386,9.607413206691362
2,32,10,0,100,10,1,5.010737936647173e-11,0.001004529257209998,0.001004529257209998,0.0010045242572065403
3,32,10,0,100,10,1,6.914536199327397e-11,0.23073808881618732,0.23073808881618732,0.2307380838213424
4,32,10,0,100,10,1,0.040215222414318595,1.221482787339553,1.221482787339553,1.2678878637700028
5,32,10,0,100,10,1,0.5336982541009655,0.7901683781047343,0.7901683781047343,2.708192040014181
6,32,10,0,100,10,1,0.9721167668115296,1.0364814685893453,1.0364814685893453,4.05973227799862
7,32,10,0,100,10,1,0.9772646700341234,1.128556625832679,1.128556625832679,5.169458284691063
8,32,10,0,100,10,1,0.9686389345426849,1.266494226921053,1.266494226921053,6.041411459616927
9,32,10,0,100,10,1,0.9555967064915242,1.4619551615474822,1.4619551615474822,6.719840727842154
10,32,10,0,100,10,1,0.9389094510450501,1.7153584704290985,1.7153584704290985,7.249803359578532
11,32,10,0,100,10,1,0.9188305028633214,2.023604158535361,2.023604158535361,7.667751390143696
12,32,10,0,100,10,1,0.8955297002500925,2.381591884738483,2.381591884738483,8.001169151017596
13,32,10,0,100,10,1,0.8691578084843289,2.7830700826451773,2.7830700826451773,8.270322927677304
14,32,10,0,100,10,1,0.8398578380211978,3.221160909330392,3.221160909330392,8.490109278330104
15,32,10,0,100,10,1,0.8077662754834324,3.68868839156021,3.68868839156021,8.671535515114712
16,32,10,0,100,10,1,0.7730125733498745,4.178383540399401,4.178383540399401,8.82280912949749
17,32,10,0,100,10,1,0.7357186702924242,4.683012017579312,4.683012017579312,8.950115504609816
18,32,10,0,100,10,1,0.6959988337352421,5.195452743364358,5.195452743364358,9.058168350205438
19,32,10,0,100,10,1,0.653959782277419,5.7087452100936185,5.7087452100936185,9.150599833813967
20,32,10,0,100,10,1,0.6097009936614014,6.216116700246187,6.216116700246187,9.230238852410762
2,64,10,0,100,10,1,5.0000021526814324e-11,1.0590689838715231e-7,1.0590689838715231e-7,1.0090689839259424e-7
3,64,10,0,100,10,1,5.0647149790713996e-11,0.0053240113325038725,0.0053240113325038725,0.005324006332554364
4,64,10,0,100,10,1,6.890406725883005e-11,0.16075396850621507,0.16075396850621507,0.16075396350952673
5,64,10,0,100,10,1,2.263181577527452e-9,0.7334304179655807,0.7334304179655807,0.7334304125596168
6,64,10,0,100,10,1,0.2333455363464651,0.5730295236444123,0.5730295236444123,1.648142616902387
7,64,10,0,100,10,1,0.5551993731059714,0.6059026766462683,0.6059026766462683,2.6723298957161075
8,64,10,0,100,10,1,0.9782506542774041,0.9826428484056474,0.9826428484056474,3.649865242439074
9,64,10,0,100,10,1,0.9974261090490077,1.007725889459404,1.007725889459404,4.5156259407566175
